S11;S22;S33;S12;S13;S23;theta
-36.5097;38.0122;-1.5025;0;0;0;4.6775
-37.0265;37.7804;-0.75388;0;0;0;4.6949
-37.5002;37.5002;-7.9544e-15;0;0;0;4.7124
-37.9228;37.1661;0.75672;0;0;0;4.7298
-38.2681;36.7555;1.5126;0;0;0;4.7473
-38.4959;36.2348;2.2612;0;0;0;4.7647
-38.6232;35.6256;2.9976;0;0;0;4.7822
-38.6681;34.9495;3.7185;0;0;0;4.7997
-38.6404;34.2191;4.4213;0;0;0;4.8171
-38.5447;33.4416;5.1031;0;0;0;4.8346
-38.3916;32.6289;5.7627;0;0;0;4.852
-38.1864;31.7877;6.3987;0;0;0;4.8695
-37.9383;30.9276;7.0107;0;0;0;4.8869
-37.6578;30.0583;7.5995;0;0;0;4.9044
-37.3511;29.1858;8.1654;0;0;0;4.9218
-37.0248;28.3155;8.7093;0;0;0;4.9393
-36.6848;27.4523;9.2325;0;0;0;4.9567
-36.3359;26.5997;9.7362;0;0;0;4.9742
-35.9821;25.7605;10.2216;0;0;0;4.9916
-35.626;24.936;10.69;0;0;0;5.0091
-35.2698;24.1274;11.1425;0;0;0;5.0265
-34.9156;23.3354;11.5802;0;0;0;5.044
-34.5643;22.5603;12.0041;0;0;0;5.0615
-34.2163;21.8014;12.4149;0;0;0;5.0789
-33.8719;21.0586;12.8133;0;0;0;5.0964
-33.5313;20.3312;13.2001;0;0;0;5.1138
-33.1947;19.6188;13.5759;0;0;0;5.1313
-32.8623;18.921;13.9413;0;0;0;5.1487
-32.5343;18.2374;14.2969;0;0;0;5.1662
-32.2108;17.5673;14.6435;0;0;0;5.1836
-31.8918;16.9104;14.9814;0;0;0;5.2011
-31.5774;16.2661;15.3114;0;0;0;5.2185
-31.2676;15.6338;15.6338;0;0;0;5.236
-30.9624;15.0132;15.9493;0;0;0;5.2534
-30.6617;14.4036;16.2582;0;0;0;5.2709
-30.3655;13.8046;16.561;0;0;0;5.2883
-30.0738;13.2157;16.8581;0;0;0;5.3058
-29.7863;12.6363;17.15;0;0;0;5.3233
-29.503;12.066;17.4369;0;0;0;5.3407
-29.2238;11.5044;17.7194;0;0;0;5.3582
-28.9484;10.9508;17.9976;0;0;0;5.3756
-28.6768;10.405;18.2719;0;0;0;5.3931
-28.4088;9.8663;18.5425;0;0;0;5.4105
-28.1441;9.3343;18.8097;0;0;0;5.428
-27.8825;8.8086;19.0738;0;0;0;5.4454
